Station;Abk.;Stationstyp;Type de station;Tipo di stazione;Station type;Standorttyp;Type de site;Tipo di sito;Site type;Eigentümer;Propriétaire;Proprietario;Owner;Stationshöhe m. ü. M.;KoordinatenE;KoordinatenN;Breitengrad;Längengrad;Kanton;Parameter;Paramètre;Parametro;Parameter
Basel / Binningen;BAS;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;316;2610909;1265612;47.541142;7.583525;BL;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
;;;;;;;;;;;;;;;;;;;;;;;
Parametername;Nom du paramètre;Nome parametro;Parameter name;Bedeutung;Signification;Significato;Meaning;Einheit;Unité;Unità;Unit;Zeitliche Auflösung;Résolution temporelle;Risoluzione temporale;Temporal resolution;;;;;;;;
tre200h0;tre200h0;tre200h0;tre200h0;Lufttemperatur 2m über Boden;Température de l’air à 2 m au-dessus du sol;Temperatura dell’aria a 2 m dal suolo;Air temperature 2 m above ground;°C;°C;°C;°C;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
ure200h0;ure200h0;ure200h0;ure200h0;Relative Luftfeuchte;Humidité relative;Umidità relativa dell’aria;Relative humidity;%;%;%;%;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
fkl010h0;fkl010h0;fkl010h0;fkl010h0;Windgeschwindigkeit, Mittel;Vitesse du vent, moyenne;Velocità del vento, media;Wind speed, average;m s-1;m s-1;m s-1;m s-1;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
fkl010h1;fkl010h1;fkl010h1;fkl010h1;Windgeschwindigkeit, Böenspitze;Vitesse du vent, rafale ;Velocità del vento, raffiche;Wind speed, peak gust;m s-1;m s-1;m s-1;m s-1;Sekundenböe, Stundenmaximum;Rafale en secondes, maximum horaire;Raffica al secondo, massimo orario;One-second gust, hourly maximum;;;;;;;;
dkl010h0;dkl010h0;dkl010h0;dkl010h0;Windrichtung;Direction du vent;Direzione del vento;Wind direction;Grad;Degré;Gradi;Degree;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
skycover;skycover;skycover;skycover;Bewölkung;Nébulosité;Distribuzione della nuvolosità;Cloud cover;%;%;%;%;Momentanwerte, linear interpoliert;Valeurs momentanées, interpolation linéaire;Valori istantanei, interpolati linearmente;Instantaneous values, linearly interpolated;;;;;;;;
gls;gls;gls;gls;Globalstrahlung horizontal;Rayonnement global horizontal;Radiazione solare globale orizzontale;Global horizontal radiation;W m-2;W m-2;W m-2;W m-2;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
str.diffus;str.diffus;str.diffus;str.diffus;Diffuse Strahlung horizontal;Rayonnement diffus horizontal;Radiazione solare diffusa orizzontale;Diffuse horizontal radiation;W m-2;W m-2;W m-2;W m-2;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
str.direkt;str.direkt;str.direkt;str.direkt;Direktstrahlung normal (Beam);Rayonnement direct normal (faisceau);Radiazione solare diretta normale (beam);Direct normal radiation (beam radiation);W m-2;W m-2;W m-2;W m-2;Stundenmittel;Moyenne horaire;Media oraria;Hourly average;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
license;"CC BY 4: Freie Nutzung. Quellenangabe ist Pflicht. ""Quelle: MeteoSchweiz (Hrsg.) 2021: Klimaszenarien für das zukünftige Innenraumklima: stündliche Klimadatensätzen für die Zukunft in Ergänzung zu SIA 2028, Bundesamt für Meteorologie und Klimatologie MeteoSchweiz, Baudirektion Kanton Zürich, Bundesamt für Umwelt (BAFU), Schweizerischer Ingenieur- und Architektenverein (SIA) und Hochschule Luzern (HSLU), Zürich.""";;;;;;;;;;;;;;;;;;;;;;
license;"CC BY 4: Utilisation libre. Obligation d’indiquer la source. ""Source: MétéoSuisse (Hrsg.) 2021: Scénarios climatiques pour le futur climat intérieur ambiant: données climatiques horaires pour le futur, complémentaires au SIA 2028, Office fédéral de météorologie et de climatologie MétéoSuisse, Direction des travaux publics du canton de Zurich, Office fédéral de l'environnement (OFEV), Société suisse des ingénieurs et des architectes (SIA) et Haute École de Lucerne (HSLU), Zurich.""";;;;;;;;;;;;;;;;;;;;;;
license;"CC BY 4: Libero utilizzo. Indicazione della fonte obbligatoria. ""Fonte: MeteoSvizzera (Hrsg.) 2021: Scenari climatici per i futuri ambienti interni: dati orari del clima futuro a complemento del SIA 2028, Ufficio federale di meteorologia e climatologia MeteoSvizzera, Direzione delle costruzioni del Cantone di Zurigo, Ufficio federale dell'ambiente (UFAM), Società svizzera degli ingegneri e degli architetti (SIA) e Scuola universitaria professionale lucernese (HSLU), Zurigo.""";;;;;;;;;;;;;;;;;;;;;;
license;"CC BY 4: Open use. Must provide the source. ""Source: MeteoSwiss (Hrsg.) 2021: Climate scenarios for future indoor climate: hourly climate datasets for the future as a supplement to SIA 2028, Federal Office of Meteorology and Climatology MeteoSwiss, Building Department of the Canton of Zurich, Federal Office for the Environment (FOEN),Swiss Society of Engineers and Architects (SIA) and Lucerne University of Applied Sciences and Arts (HSLU), Zurich.""";;;;;;;;;;;;;;;;;;;;;;
